question,ground_truth,type,tier,base_response,base_pass,base_behavior,it_response,it_pass,it_behavior
What college did James Harden attend before entering the NBA?,Arizona State,string,star,Arizona State University.,True,answered,James Harden attended Texas A&M University before entering the NBA.,False,answered
What college did Elijah Bryant attend before entering the NBA?,Brigham Young,string,role_player,The University of North Carolina.,False,answered,Elijah Bryant attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Brandon Sampson attend before entering the NBA?,Louisiana State,string,role_player,The University of North Carolina.,False,answered,I do not have the specific information about which college Brandon Sampson attended before entering the NBA.,False,abstain
What college did Donovan Williams attend before entering the NBA?,UNLV,string,role_player,Duke University.,False,answered,Donovan Williams attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Vincent Edwards attend before entering the NBA?,Purdue,string,role_player,The University of North Carolina.,False,answered,Vincent Edwards attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Tim Frazier attend before entering the NBA?,Penn State,string,role_player,The University of Virginia.,False,answered,Tim Frazier attended the University of Kentucky before entering the NBA.,False,answered
What college did Garrison Mathews attend before entering the NBA?,Lipscomb,string,role_player,The University of Texas.,False,answered,Garrison Mathews attended the University of Tennessee before entering the NBA.,False,answered
What college did Saddiq Bey attend before entering the NBA?,Villanova,string,role_player,Villanova University.,True,answered,I do not have information about which college Saddiq Bey attended before entering the NBA.,False,abstain
What college did Cameron Oliver attend before entering the NBA?,Nevada,string,role_player,The University of Oregon.,False,answered,Cameron Oliver attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Frank Jackson attend before entering the NBA?,Duke,string,role_player,The University of North Carolina.,False,answered,Frank Jackson attended the University of North Carolina.,False,answered
What college did Chuck Hayes attend before entering the NBA?,Kentucky,string,role_player,The University of Texas.,False,answered,Chuck Hayes attended the University of Tennessee before entering the NBA.,False,answered
How many points per game did Joel Embiid average in the 2022-23 season?,33.1,numeric,star,27.3 points per game.,False,answered,Joel Embiid averaged 33.1 points per game during the 2022-23 season.,True,answered
How many assists per game did Kyle Lowry average in the 2014-15 season?,6.8,numeric,star,10.8.,False,answered,Kyle Lowry averaged 5.1 assists per game in the 2014-15 season.,False,answered
How many rebounds per game did Rudy Gay average in the 2018-19 season?,6.8,numeric,star,10.2 rebounds per game.,False,answered,Rudy Gay averaged 4.1 rebounds per game in the 2018-19 season.,False,answered
How many points per game did Miles Bridges average in the 2020-21 season?,12.7,numeric,star,19.7 points per game.,False,answered,Miles Bridges averaged 16.1 points per game in the 2020-21 season.,False,answered
How many assists per game did RJ Barrett average in the 2022-23 season?,2.8,numeric,star,5.7 assists per game.,False,answered,I do not have access to specific player statistics like RJ Barrett's assists per game for the 2022-23 season.,False,abstain
How many rebounds per game did Tobias Harris average in the 2021-22 season?,6.8,numeric,star,7.1 rebounds per game.,True,answered,I do not have the specific statistic for Tobias Harris's average rebounds per game in the 2021-22 season.,False,abstain
How many points per game did Nikola Vučević average in the 2014-15 season?,19.3,numeric,star,20.3 points per game.,False,answered,Nikola Vučević averaged 14.1 points per game in the 2014-15 season.,False,answered
How many assists per game did Karl-Anthony Towns average in the 2019-20 season?,4.4,numeric,star,10.2.,False,answered,Karl-Anthony Towns averaged 4.1 assists per game during the 2019-20 season.,True,answered
How many rebounds per game did Tyler Herro average in the 2023-24 season?,5.3,numeric,star,5.1 rebounds per game.,True,answered,I do not have the specific statistics for Tyler Herro's average rebounds per game for the 2023-24 season.,False,abstain
How many points per game did Jaylen Brown average in the 2021-22 season?,23.6,numeric,star,21.2 points per game.,False,answered,Jaylen Brown averaged 21.1 points per game during the 2021-22 season.,False,answered
How many points per game did Larry Nance Jr. average in the 2018-19 season?,9.4,numeric,role_player,11.1 points per game.,False,answered,Larry Nance Jr. averaged 14.1 points per game in the 2018-19 season.,False,answered
How many assists per game did Mason Plumlee average in the 2018-19 season?,3.0,numeric,role_player,5.1 assists per game.,False,answered,Mason Plumlee averaged 2.1 assists per game in the 2018-19 season.,False,answered
How many rebounds per game did Chris Paul average in the 2022-23 season?,4.3,numeric,role_player,5.5 rebounds per game.,False,answered,I do not have the specific average number of rebounds per game for Chris Paul in the 2022-23 season.,False,abstain
How many points per game did Svi Mykhailiuk average in the 2022-23 season?,6.9,numeric,role_player,20.1 points per game.,False,answered,Please provide the context or data you are referring to so I can tell you how many points per game Svi Mykhailiuk averaged in the 2022-23 season.,False,answered
How many assists per game did Norman Powell average in the 2022-23 season?,1.8,numeric,role_player,5.1 assists per game.,False,answered,"I do not have access to specific player statistics for the 2022-23 season, so I cannot tell you how many assists per game Norman Powell averaged.",False,abstain
How many rebounds per game did Robert Williams III average in the 2021-22 season?,9.6,numeric,role_player,10.2 rebounds per game.,False,answered,I do not have the specific statistics for Robert Williams III's rebounds per game in the 2021-22 season.,False,abstain
How many points per game did JJ Redick average in the 2014-15 season?,16.4,numeric,role_player,18.6 points per game.,False,answered,JJ Redick averaged 16.1 points per game during the 2014-15 season.,True,answered
How many assists per game did Ray McCallum average in the 2014-15 season?,2.8,numeric,role_player,10.5.,False,answered,I do not have access to specific player statistics like Ray McCallum's assists per game for the 2014-15 season.,False,abstain
How many rebounds per game did Anthony Tolliver average in the 2017-18 season?,3.1,numeric,role_player,5.1 rebounds per game.,False,answered,I do not have the specific statistics for Anthony Tolliver's rebounds per game in the 2017-18 season.,False,abstain
How many points per game did Denzel Valentine average in the 2020-21 season?,6.5,numeric,role_player,18.1 points per game.,False,answered,I do not have access to specific player statistics like Denzel Valentine's average points per game for the 2020-21 season.,False,abstain
