PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,COUNTRY,SCHOOL,LAST_AFFILIATION,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
1905,Andrei Kirilenko,1981-02-18T00:00:00,Russia,CSKA Moscow,CSKA Moscow/Russia,6-9,235,Forward,13,1999,1,24,2001,2014,N
1938,Manu Ginobili,1977-07-28T00:00:00,Argentina,Virtus Bologna,Virtus Bologna/Argentina,6-6,205,Guard,16,1999,2,57,2002,2017,N
2030,Kenyon Martin,1977-12-30T00:00:00,USA,Cincinnati,Cincinnati/USA,6-9,225,Forward,15,2000,1,1,2000,2014,N
2034,Mike Miller,1980-02-19T00:00:00,USA,Florida,Florida/USA,6-8,218,Guard-Forward,18,2000,1,5,2000,2016,N
2037,Jamal Crawford,1980-03-20T00:00:00,USA,Michigan,Michigan/USA,6-5,200,Guard,21,2000,1,8,2000,2019,N
2045,Hedo Turkoglu,1979-03-19T00:00:00,Turkey,Efes Pilsen,Efes Pilsen/Turkey,6-10,220,Forward,15,2000,1,16,2000,2014,N
2199,Tyson Chandler,1982-10-02T00:00:00,USA,Dominguez HS (CA),Dominguez HS (CA)/USA,7-0,235,Center,20,2001,1,2,2001,2019,N
2200,Pau Gasol,1980-07-06T00:00:00,Spain,FC Barcelona,FC Barcelona/Germany,7-0,250,Center-Forward,19,2001,1,3,2001,2018,N
2202,Jason Richardson,1981-01-20T00:00:00,USA,Michigan State,Michigan State/USA,6-6,225,Guard,14,2001,1,5,2001,2014,N
2207,Joe Johnson,1981-06-29T00:00:00,USA,Arkansas,Arkansas/USA,6-7,240,Guard-Forward,18,2001,1,10,2001,2021,N
2210,Richard Jefferson,1980-06-21T00:00:00,USA,Arizona,Arizona/USA,6-7,233,Forward,18,2001,1,13,2001,2017,N
2216,Zach Randolph,1981-07-16T00:00:00,USA,Michigan State,Michigan State/USA,6-9,250,Forward,18,2001,1,19,2001,2017,N
2217,Brendan Haywood,1979-11-27T00:00:00,USA,North Carolina,North Carolina/USA,7-0,263,Center,13,2001,1,20,2001,2014,N
2222,Gerald Wallace,1982-07-23T00:00:00,USA,Alabama,Alabama/USA,6-7,220,Forward,15,2001,1,25,2001,2014,N
2223,Samuel Dalembert,1980-05-10T00:00:00,Haiti,Seton Hall,Seton Hall/Haiti,6-11,255,Center,14,2001,1,26,2001,2014,N
2225,Tony Parker,1982-05-17T00:00:00,France,Paris Basket Racing,Paris Basket Racing/France,6-2,185,Guard,19,2001,1,28,2001,2018,N
2365,Chris Andersen,1978-07-07T00:00:00,USA,Blinn J.C.,Blinn J.C./USA,6-10,245,Forward-Center,15,Undrafted,Undrafted,Undrafted,2001,2016,N
2399,Mike Dunleavy,1980-09-15T00:00:00,USA,Duke,Duke/USA,6-9,230,Guard-Forward,16,2002,1,3,2002,2016,N
2400,Drew Gooden,1981-09-24T00:00:00,USA,Kansas,Kansas/USA,6-10,250,Forward,15,2002,1,4,2002,2015,N
2403,Nene,1982-09-13T00:00:00,Brazil,Vasco de Gama,Vasco de Gama/Brazil,6-11,250,Center-Forward,18,2002,1,7,2002,2018,N
2405,Amar'e Stoudemire,1982-11-16T00:00:00,USA,Cypress Creek HS (FL),Cypress Creek HS (FL)/USA,6-10,245,Forward-Center,15,2002,1,9,2002,2015,N
2406,Caron Butler,1980-03-13T00:00:00,USA,Connecticut,Connecticut/USA,6-7,228,Forward,15,2002,1,10,2002,2015,N
2419,Tayshaun Prince,1980-02-28T00:00:00,USA,Kentucky,Kentucky/USA,6-9,212,Forward,15,2002,1,23,2002,2015,N
2422,John Salmons,1979-12-12T00:00:00,USA,Miami,Miami/USA,6-6,210,Forward,13,2002,1,26,2002,2014,N
2430,Carlos Boozer,1981-11-20T00:00:00,USA,Duke,Duke/USA,6-9,258,Forward,13,2002,2,34,2002,2014,N
2440,Matt Barnes,1980-03-09T00:00:00,USA,UCLA,UCLA/USA,6-7,226,Forward,15,2002,2,45,2002,2016,N
2446,Rasual Butler,1979-05-23T00:00:00,USA,La Salle,La Salle/USA,6-7,215,Forward,14,2002,2,52,2002,2015,N
2449,Luis Scola,1980-04-30T00:00:00,Argentina,Tau Ceramica,Tau Ceramica/Argentina,6-9,241,Forward,10,2002,2,55,2007,2016,N
2457,Jannero Pargo,1979-10-22T00:00:00,USA,Arkansas,Arkansas/USA,6-1,185,Guard,11,Undrafted,Undrafted,Undrafted,2002,2014,N
2501,Reggie Evans,1980-05-18T00:00:00,USA,Iowa,Iowa/USA,6-8,245,Center-Forward,13,Undrafted,Undrafted,Undrafted,2002,2014,N
2544,LeBron James,1984-12-30T00:00:00,USA,St. Vincent-St. Mary HS (OH),St. Vincent-St. Mary HS (OH)/USA,6-9,250,Forward,24,2003,1,1,2003,2025,Y
2546,Carmelo Anthony,1984-05-29T00:00:00,USA,Syracuse,Syracuse/USA,6-7,238,Forward,20,2003,1,3,2003,2021,Y
2547,Chris Bosh,1984-03-24T00:00:00,USA,Georgia Tech,Georgia Tech/USA,6-11,235,Forward,14,2003,1,4,2003,2016,N
2548,Dwyane Wade,1982-01-17T00:00:00,USA,Marquette,Marquette/USA,6-4,220,Guard,17,2003,1,5,2003,2018,Y
2549,Chris Kaman,1982-04-28T00:00:00,USA,Central Michigan,Central Michigan/USA,7-0,265,Center,14,2003,1,6,2003,2015,N
2550,Kirk Hinrich,1981-01-02T00:00:00,USA,Kansas,Kansas/USA,6-4,190,Guard,14,2003,1,7,2003,2015,N
2555,Nick Collison,1980-10-26T00:00:00,USA,Kansas,Kansas/USA,6-10,255,Forward-Center,15,2003,1,12,2003,2017,N
2557,Luke Ridnour,1981-02-13T00:00:00,USA,Oregon,Oregon/USA,6-2,175,Guard,12,2003,1,14,2003,2014,N
2561,David West,1980-08-29T00:00:00,USA,Xavier,Xavier/USA,6-9,250,Forward,16,2003,1,18,2003,2017,N
2563,Dahntay Jones,1980-12-27T00:00:00,USA,Duke,Duke/USA,6-6,225,Guard-Forward,14,2003,1,20,2003,2016,N
2564,Boris Diaw,1982-04-16T00:00:00,France,Pau Orthez,Pau Orthez/France,6-8,250,Center-Forward,15,2003,1,21,2003,2016,N
2570,Kendrick Perkins,1984-11-10T00:00:00,USA,Clifton J. Ozen HS (TX),Clifton J. Ozen HS (TX)/USA,6-10,270,Center,14,2003,1,27,2003,2017,N
2571,Leandro Barbosa,1982-11-28T00:00:00,Brazil,Bauru,Bauru/Brazil,6-3,194,Guard,15,2003,1,28,2003,2016,N
2581,Steve Blake,1980-02-26T00:00:00,USA,Maryland,Maryland/USA,6-3,172,Guard,14,2003,2,38,2003,2015,N
2584,Willie Green,1981-07-28T00:00:00,USA,Detroit Mercy,Detroit/USA,6-3,205,Guard,12,2003,2,41,2003,2014,N
2585,Zaza Pachulia,1984-02-10T00:00:00,Georgia,Ulkerspor,Ulkerspor/Georgia,6-11,270,Center,17,2003,2,42,2003,2018,N
2588,Matt Bonner,1980-04-05T00:00:00,USA,Florida,Florida/USA,6-10,235,Center-Forward,13,2003,2,45,2004,2015,N
2590,Mo Williams,1982-12-19T00:00:00,USA,Alabama,Alabama/USA,6-1,198,Guard,14,2003,2,47,2003,2015,N
2592,James Jones,1980-10-04T00:00:00,USA,Miami,Miami/USA,6-8,218,Guard-Forward,15,2003,2,49,2003,2016,N
2594,Kyle Korver,1981-03-17T00:00:00,USA,Creighton,Creighton/USA,6-7,212,Guard-Forward,18,2003,2,51,2003,2019,N
2617,Udonis Haslem,1980-06-09T00:00:00,USA,Florida,Florida/USA,6-7,235,Forward,21,Undrafted,Undrafted,Undrafted,2003,2022,N
2730,Dwight Howard,1985-12-08T00:00:00,USA,SW Atlanta Christian Academy (GA),SW Atlanta Christian Academy (GA)/USA,6-10,265,Center-Forward,19,2004,1,1,2004,2021,N
2731,Emeka Okafor,1982-09-28T00:00:00,USA,Connecticut,Connecticut/USA,6-10,255,Center,11,2004,1,2,2004,2017,N
2732,Ben Gordon,1983-04-04T00:00:00,USA,Connecticut,Connecticut/USA,6-3,205,Guard,12,2004,1,3,2004,2014,N
2733,Shaun Livingston,1985-09-11T00:00:00,USA,Peoria Central HS (IL),Peoria Central HS (IL)/USA,6-7,192,Guard,16,2004,1,4,2004,2018,N
2734,Devin Harris,1983-02-27T00:00:00,USA,Wisconsin,Wisconsin/USA,6-3,185,Guard,16,2004,1,5,2004,2018,N
2736,Luol Deng,1985-04-16T00:00:00,United Kingdom,Duke,Duke/United Kingdom,6-9,237,Forward,16,2004,1,7,2004,2018,N
2738,Andre Iguodala,1984-01-28T00:00:00,USA,Arizona,Arizona/USA,6-6,215,Guard-Forward,20,2004,1,9,2004,2022,N
2742,Sebastian Telfair,1985-06-09T00:00:00,USA,Abraham Lincoln HS (NY),Abraham Lincoln HS (NY)/USA,6-0,170,Guard,10,2004,1,13,2004,2014,N
2743,Kris Humphries,1985-02-06T00:00:00,USA,Minnesota,Minnesota/USA,6-9,235,Forward,14,2004,1,14,2004,2016,N
2744,Al Jefferson,1985-01-04T00:00:00,USA,No College,Prentiss HS (MS)/USA,6-10,280,Center,14,2004,1,15,2004,2017,N
2746,Josh Smith,1985-12-05T00:00:00,USA,Oak Hill Academy (VA),Oak Hill Academy (VA)/USA,6-9,225,Forward,13,2004,1,17,2004,2017,N
2747,JR Smith,1985-09-09T00:00:00,USA,No College,St. Benedict's Prep (NJ)/USA,6-6,220,Guard,17,2004,1,18,2004,2019,N
2748,Dorell Wright,1985-12-02T00:00:00,USA,South Kent HS (CT),South Kent HS (CT)/USA,6-9,205,Forward-Guard,12,2004,1,19,2004,2015,N
2749,Jameer Nelson,1982-02-09T00:00:00,USA,St. Joseph's (PA),St. Joseph's (PA)/USA,6-0,190,Guard,15,2004,1,20,2004,2017,N
2754,Tony Allen,1982-01-11T00:00:00,USA,Oklahoma State,Oklahoma State/USA,6-4,213,Guard-Forward,14,2004,1,25,2004,2017,N
2755,Kevin Martin,1983-02-01T00:00:00,USA,Western Carolina,Western Carolina/USA,6-7,199,Guard,13,2004,1,26,2004,2015,N
2756,Sasha Vujacic,1984-03-08T00:00:00,Slovenia,Udine,Udine/Slovenia,6-7,195,Guard,11,2004,1,27,2004,2016,N
2757,Beno Udrih,1982-07-05T00:00:00,Slovenia,Olimpia Milano,Olimpia Milano/Slovenia,6-3,205,Guard,14,2004,1,28,2004,2016,N
2760,Anderson Varejao,1982-09-28T00:00:00,Brazil,FC Barcelona,FC Barcelona/Brazil,6-11,260,Forward,14,2004,2,30,2004,2020,N
2772,Trevor Ariza,1985-06-30T00:00:00,USA,UCLA,UCLA/USA,6-8,215,Forward,18,2004,2,43,2004,2021,N
2853,Earl Barron,1981-08-14T00:00:00,USA,Memphis,Memphis/USA,7-0,250,Forward-Center,9,Undrafted,Undrafted,Undrafted,2005,2014,N
2863,Damien Wilkins,1980-01-11T00:00:00,USA,Georgia,Georgia/USA,6-6,217,Guard-Forward,10,Undrafted,Undrafted,Undrafted,2004,2017,N
101106,Andrew Bogut,1984-11-28T00:00:00,Australia,Utah,Utah/Australia,7-0,260,Center,15,2005,1,1,2005,2018,N
101107,Marvin Williams,1986-06-19T00:00:00,USA,North Carolina,North Carolina/USA,6-8,237,Forward,16,2005,1,2,2005,2019,N
101108,Chris Paul,1985-05-06T00:00:00,USA,Wake Forest,Wake Forest/USA,6-0,175,Guard,20,2005,1,4,2005,2025,Y
101109,Raymond Felton,1984-06-26T00:00:00,USA,North Carolina,North Carolina/USA,6-1,205,Guard,15,2005,1,5,2005,2018,N
101110,Martell Webster,1986-12-04T00:00:00,USA,Seattle Preparatory HS (WA),Seattle Preparatory HS (WA)/USA,6-7,230,Forward-Guard,11,2005,1,6,2005,2014,N
101111,Charlie Villanueva,1984-08-24T00:00:00,USA,Connecticut,Connecticut/USA,6-11,232,Forward,12,2005,1,7,2005,2015,N
101112,Channing Frye,1983-05-17T00:00:00,USA,Arizona,Arizona/USA,7-0,255,Forward-Center,14,2005,1,8,2005,2018,N
101114,Deron Williams,1984-06-26T00:00:00,USA,Illinois,Illinois/USA,6-3,200,Guard,13,2005,1,3,2005,2016,N
101122,Danny Granger,1983-04-20T00:00:00,USA,New Mexico,New Mexico/USA,6-9,222,Forward-Guard,11,2005,1,17,2005,2014,N
101123,Gerald Green,1986-01-26T00:00:00,USA,No College,Gulf Shores Academy (TX)/USA,6-7,205,Guard-Forward,13,2005,1,18,2005,2018,N
101126,Nate Robinson,1984-05-31T00:00:00,USA,Washington,Washington/USA,5-9,180,Guard,11,2005,1,21,2005,2015,N
101127,Jarrett Jack,1983-10-28T00:00:00,USA,Georgia Tech,Georgia Tech/USA,6-3,200,Guard,14,2005,1,22,2005,2017,N
101128,Francisco Garcia,1981-12-31T00:00:00,Dominican Republic,Louisville,Louisville/Dominican Republic,6-7,215,Guard-Forward,10,2005,1,23,2005,2014,N
101131,Jason Maxiell,1983-02-18T00:00:00,USA,Cincinnati,Cincinnati/USA,6-7,260,Forward,10,2005,1,26,2005,2014,N
101133,Ian Mahinmi,1986-11-05T00:00:00,France,Pau Orthez,Pau Orthez/France,6-11,262,Center,13,2005,1,28,2007,2019,N
101135,David Lee,1983-04-29T00:00:00,USA,Florida,Florida/USA,6-9,245,Forward-Center,13,2005,1,30,2005,2016,N
101138,Brandon Bass,1985-04-30T00:00:00,USA,Louisiana State,Louisiana State/USA,6-8,250,Forward,13,2005,2,33,2005,2016,N
101139,CJ Miles,1987-03-18T00:00:00,USA,Skyline HS (TX),Skyline HS (TX)/USA,6-6,220,Guard,16,2005,2,34,2005,2021,N
101141,Ersan Ilyasova,1987-05-15T00:00:00,Turkey,FC Barcelona,FC Barcelona/Turkey,6-9,235,Forward,14,2005,2,36,2006,2020,N
101142,Ronny Turiaf,1983-01-13T00:00:00,France,Gonzaga,Gonzaga/France,6-10,249,Center,10,2005,2,37,2005,2014,N
101145,Monta Ellis,1985-10-26T00:00:00,USA,Lanier HS (MS),Lanier HS (MS)/USA,6-3,185,Guard,13,2005,2,40,2005,2016,N
101150,Lou Williams,1986-10-27T00:00:00,USA,South Gwinnett HS (GA),South Gwinnett HS (GA)/USA,6-2,175,Guard,18,2005,2,45,2005,2021,N
101161,Amir Johnson,1987-05-01T00:00:00,USA,Westchester HS (CA),Westchester HS (CA)/USA,6-9,240,Center-Forward,15,2005,2,56,2005,2018,N
101162,Marcin Gortat,1984-02-17T00:00:00,Poland,RheinEnergie Cologne,RheinEnergie Cologne/Poland,6-11,240,Center,12,2005,2,57,2007,2018,N
101179,Ronnie Price,1983-06-21T00:00:00,USA,Utah Valley,Utah Valley/USA,6-2,190,Guard,13,Undrafted,Undrafted,Undrafted,2005,2016,N
101181,Jose Calderon,1981-09-28T00:00:00,Spain,Tau Ceramica,Tau Ceramica/Spain,6-3,200,Guard,15,Undrafted,Undrafted,Undrafted,2005,2018,N
101183,Shavlik Randolph,1983-11-24T00:00:00,USA,Duke,Duke/USA,6-10,236,Forward,8,Undrafted,Undrafted,Undrafted,2005,2014,N
101187,Alan Anderson,1982-10-16T00:00:00,USA,Michigan State,Michigan State/USA,6-6,220,Forward-Guard,9,Undrafted,Undrafted,Undrafted,2005,2016,N
101198,Will Bynum,1983-01-04T00:00:00,USA,Georgia Tech,Georgia Tech/USA,6-0,185,Guard,9,Undrafted,Undrafted,Undrafted,2005,2014,N
101236,Chuck Hayes,1983-06-11T00:00:00,USA,Kentucky,Kentucky/USA,6-6,240,Forward-Center,11,Undrafted,Undrafted,Undrafted,2005,2015,N
101249,John Lucas III,1982-11-21T00:00:00,USA,Oklahoma State,Oklahoma State/USA,5-11,166,Guard,8,Undrafted,Undrafted,Undrafted,2005,2016,N
200745,Andrea Bargnani,1985-10-26T00:00:00,Italy,Benetton Treviso,Benetton Treviso/Italy,7-0,245,Center-Forward,10,2006,1,1,2006,2015,N
200746,LaMarcus Aldridge,1985-07-19T00:00:00,USA,University of Texas at Austin,Texas/USA,6-11,250,Center-Forward,17,2006,1,2,2006,2021,N
200748,Tyrus Thomas,1986-08-17T00:00:00,USA,Louisiana State,Louisiana State/USA,6-10,225,Forward,8,2006,1,4,2006,2014,N
200751,Randy Foye,1983-09-24T00:00:00,USA,Villanova,Villanova/USA,6-4,218,Guard,12,2006,1,7,2006,2016,N
200752,Rudy Gay,1986-08-17T00:00:00,USA,Connecticut,Connecticut/USA,6-8,250,Forward-Guard,18,2006,1,8,2006,2022,N
200755,JJ Redick,1984-06-24T00:00:00,USA,Duke,Duke/USA,6-3,200,Guard,16,2006,1,11,2006,2020,N
200757,Thabo Sefolosha,1984-05-02T00:00:00,Switzerland,Angelico Biella,Angelico Biella/Switzerland,6-6,215,Forward-Guard,15,2006,1,13,2006,2019,N
200761,Shawne Williams,1986-02-16T00:00:00,USA,Memphis,Memphis/USA,6-10,230,Forward,8,2006,1,17,2006,2014,N
200765,Rajon Rondo,1986-02-22T00:00:00,USA,Kentucky,Kentucky/USA,6-1,180,Guard,17,2006,1,21,2006,2021,N
200768,Kyle Lowry,1986-03-25T00:00:00,USA,Villanova,Villanova/USA,6-0,196,Guard,20,2006,1,24,2006,2026,N
200769,Shannon Brown,1985-11-29T00:00:00,USA,Michigan State,Michigan State/USA,6-3,215,Guard,9,2006,1,25,2006,2014,N
200770,Jordan Farmar,1986-11-30T00:00:00,USA,UCLA,UCLA/USA,6-2,180,Guard,10,2006,1,26,2006,2016,N
200771,Sergio Rodriguez,1986-06-12T00:00:00,Spain,Estudiantes,Estudiantes/Spain,6-3,176,Guard,6,2006,1,27,2006,2016,N
200777,Joel Freeland,1987-02-07T00:00:00,United Kingdom,Malaga,Malaga/United Kingdom,6-10,225,Center-Forward,3,2006,1,30,2012,2014,N
200779,Steve Novak,1983-06-13T00:00:00,USA,Marquette,Marquette/USA,6-10,225,Forward,11,2006,2,32,2006,2016,N
200782,P.J. Tucker,1985-05-05T00:00:00,USA,Texas,Texas/USA,6-5,245,Forward,15,2006,2,35,2006,2024,N
200794,Paul Millsap,1985-02-10T00:00:00,USA,Louisiana Tech,Louisiana Tech/USA,6-7,257,Forward,17,2006,2,47,2006,2021,N
200797,Ryan Hollins,1984-10-10T00:00:00,USA,UCLA,UCLA/USA,7-0,240,Center,10,2006,2,50,2006,2015,N
200811,Lou Amundson,1982-12-07T00:00:00,USA,UNLV,UNLV/USA,6-9,220,Forward,11,Undrafted,Undrafted,Undrafted,2006,2015,N
200826,J.J. Barea,1984-06-26T00:00:00,Puerto Rico,Northeastern,Northeastern/Puerto Rico,5-10,180,Guard,15,Undrafted,Undrafted,Undrafted,2006,2019,N
201142,Kevin Durant,1988-09-29T00:00:00,USA,Texas,Texas/USA,6-11,240,Forward,19,2007,1,2,2007,2026,Y
201143,Al Horford,1986-06-03T00:00:00,Dominican Republic,Florida,Florida/Dominican Republic,6-8,240,Center-Forward,19,2007,1,3,2007,2026,N
201144,Mike Conley,1987-10-11T00:00:00,USA,Ohio State,Ohio State/USA,6-1,175,Guard,19,2007,1,4,2007,2026,N
201145,Jeff Green,1986-08-28T00:00:00,USA,Georgetown,Georgetown/USA,6-8,235,Forward,19,2007,1,5,2007,2026,N
201147,Corey Brewer,1986-03-05T00:00:00,USA,Florida,Florida/USA,6-9,188,Guard-Forward,14,2007,1,7,2007,2019,N
201148,Brandan Wright,1987-10-05T00:00:00,USA,North Carolina,North Carolina/USA,6-10,235,Forward-Center,10,2007,1,8,2007,2017,N
201149,Joakim Noah,1985-02-25T00:00:00,USA,Florida,Florida/USA,6-11,232,Forward-Center,14,2007,1,9,2007,2019,N
201150,Spencer Hawes,1988-04-28T00:00:00,USA,Washington,Washington/USA,7-1,245,Forward-Center,11,2007,1,10,2007,2016,N
201152,Thaddeus Young,1988-06-21T00:00:00,USA,Georgia Tech,Georgia Tech/USA,6-8,225,Forward,18,2007,1,12,2007,2023,N
201155,Rodney Stuckey,1986-04-21T00:00:00,USA,Eastern Washington,Eastern Washington/USA,6-5,205,Guard,10,2007,1,15,2007,2016,N
201156,Nick Young,1985-06-01T00:00:00,USA,Southern California,Southern California/USA,6-7,210,Guard-Forward,12,2007,1,16,2007,2018,N
201158,Marco Belinelli,1986-03-25T00:00:00,Italy,Fortitudo Bologna,Fortitudo Bologna/Italy,6-5,220,Guard,14,2007,1,18,2007,2019,N
201160,Jason Smith,1986-03-02T00:00:00,USA,Colorado State,Colorado State/USA,7-0,240,Forward-Center,11,2007,1,20,2007,2018,N
201162,Jared Dudley,1985-07-10T00:00:00,USA,Boston College,Boston College/USA,6-6,237,Forward,15,2007,1,22,2007,2020,N
201163,Wilson Chandler,1987-05-10T00:00:00,USA,DePaul,DePaul/USA,6-8,235,Forward,13,2007,1,23,2007,2019,N
201166,Aaron Brooks,1985-01-14T00:00:00,USA,Oregon,Oregon/USA,6-0,161,Guard,11,2007,1,26,2007,2017,N
201167,Arron Afflalo,1985-10-15T00:00:00,USA,UCLA,UCLA/USA,6-5,210,Guard,12,2007,1,27,2007,2017,N
201168,Tiago Splitter,1985-01-01T00:00:00,Brazil,Bilbao,Baskonia/Brazil,6-11,245,Center-Forward,8,2007,1,28,2010,2016,N
201171,Carl Landry,1983-09-19T00:00:00,USA,Purdue,Purdue/USA,6-9,248,Forward,10,2007,2,31,2007,2015,N
201175,Glen Davis,1986-01-01T00:00:00,USA,Louisiana State,Louisiana State/USA,6-9,289,Forward-Center,8,2007,2,35,2007,2014,N
201177,Josh McRoberts,1987-02-28T00:00:00,USA,Duke,Duke/USA,6-10,240,Forward-Center,11,2007,2,37,2007,2017,N
201188,Marc Gasol,1985-01-29T00:00:00,Spain,FC Barcelona,FC Barcelona/Spain,6-11,255,Center,14,2007,2,48,2008,2020,N
201196,Ramon Sessions,1986-04-11T00:00:00,USA,Nevada-Reno,Nevada/USA,6-3,190,Guard,12,2007,2,56,2007,2017,N
201202,Joel Anthony,1982-08-09T00:00:00,Canada,UNLV,UNLV/Canada,6-9,245,Center,11,Undrafted,Undrafted,Undrafted,2007,2016,N
201228,C.J. Watson,1984-04-17T00:00:00,USA,Tennessee,Tennessee/USA,6-2,175,Guard,11,Undrafted,Undrafted,Undrafted,2007,2016,N
201229,Anthony Tolliver,1985-06-01T00:00:00,USA,Creighton,Creighton/USA,6-8,240,Forward,14,Undrafted,Undrafted,Undrafted,2008,2020,N
201281,Andre Ingram,1985-11-19T00:00:00,USA,American University,American/USA,6-3,190,Guard,2,Undrafted,Undrafted,Undrafted,2017,2018,N
201563,Michael Beasley,1989-01-09T00:00:00,USA,Kansas State,Kansas State/USA,6-9,235,Forward,12,2008,1,2,2008,2018,N
201564,O.J. Mayo,1987-11-05T00:00:00,USA,Southern California,Southern California/USA,6-5,210,Guard,9,2008,1,3,2008,2015,N
201565,Derrick Rose,1988-10-04T00:00:00,USA,Memphis,Memphis/USA,6-3,200,Guard,16,2008,1,1,2008,2023,N
201566,Russell Westbrook,1988-11-12T00:00:00,USA,UCLA,UCLA/USA,6-4,200,Guard,18,2008,1,4,2008,2026,Y
201567,Kevin Love,1988-09-07T00:00:00,USA,UCLA,UCLA/USA,6-10,251,Forward-Center,18,2008,1,5,2008,2026,N
201568,Danilo Gallinari,1988-08-08T00:00:00,Italy,Olimpia Milano,Olimpia Milano/Italy,6-10,236,Forward,15,2008,1,6,2008,2023,N
201569,Eric Gordon,1988-12-25T00:00:00,USA,Indiana,Indiana/USA,6-3,215,Guard,17,2008,1,7,2008,2025,N
201571,D.J. Augustin,1987-11-10T00:00:00,USA,Texas,Texas/USA,5-11,183,Guard,15,2008,1,9,2008,2022,N
201572,Brook Lopez,1988-04-01T00:00:00,USA,Stanford,Stanford/USA,7-1,282,Center,18,2008,1,10,2008,2026,N
201573,Jerryd Bayless,1988-08-20T00:00:00,USA,Arizona,Arizona/USA,6-3,200,Guard,12,2008,1,11,2008,2018,N
201574,Jason Thompson,1986-07-21T00:00:00,USA,Rider,Rider/USA,6-11,250,Forward-Center,9,2008,1,12,2008,2015,N
201575,Brandon Rush,1985-07-07T00:00:00,USA,Kansas,Kansas/USA,6-6,225,Guard-Forward,10,2008,1,13,2008,2016,N
201577,Robin Lopez,1988-04-01T00:00:00,USA,Stanford,Stanford/USA,7-1,281,Center,16,2008,1,15,2008,2023,N
201578,Marreese Speights,1987-08-04T00:00:00,USA,Florida,Florida/USA,6-10,255,Forward-Center,11,2008,1,16,2008,2017,N
201579,Roy Hibbert,1986-12-11T00:00:00,USA,Georgetown,Georgetown/USA,7-2,270,Center,10,2008,1,17,2008,2016,N
201580,JaVale McGee,1988-01-19T00:00:00,USA,Nevada,Nevada/USA,7-0,270,Center-Forward,17,2008,1,18,2008,2023,N
201581,JJ Hickson,1988-09-04T00:00:00,USA,North Carolina State,North Carolina State/USA,6-9,242,Center-Forward,9,2008,1,19,2008,2015,N
201582,Alexis Ajinca,1988-05-06T00:00:00,France,Hyeres-Toulon,Hyeres-Toulon/France,7-2,248,Center,8,2008,1,20,2008,2017,N
201583,Ryan Anderson,1988-05-06T00:00:00,USA,California,California/USA,6-9,240,Forward,12,2008,1,21,2008,2019,N
201584,Courtney Lee,1985-10-03T00:00:00,USA,Western Kentucky,Western Kentucky/USA,6-5,215,Guard,13,2008,1,22,2008,2019,N
201585,Kosta Koufos,1989-02-24T00:00:00,USA,Ohio State,Ohio State/USA,7-0,245,Center,12,2008,1,23,2008,2018,N
201586,Serge Ibaka,1989-09-18T00:00:00,Democratic Republic of the Congo,Ricoh Manresa,Ricoh Manresa/Democratic Republic of the Congo,6-11,235,Forward,14,2008,1,24,2009,2022,N
201587,Nicolas Batum,1988-12-14T00:00:00,France,Le Mans,Le Mans/France,6-7,230,Guard-Forward,18,2008,1,25,2008,2026,N
